CellIDCol,AreaCol,IntensityCol
1,545,25805
2,439,19555
3,269,8151
4,84,2618
5,667,19666
6,242,10346
7,265,9290
8,596,16976
9,212,9916
10,239,10605
11,222,9638
12,232,12040
13,508,22730
14,241,11416
15,554,19143
16,65,1749
17,438,14910
18,425,15867
19,574,12180
20,398,10746
21,493,12882
22,292,27000
23,786,22611
24,302,7010
25,356,13043
26,334,10814
27,438,14311
28,390,12363
29,402,15199
30,285,6418
31,304,11891
32,187,6993
33,212,9907
34,322,6702
35,348,11637
36,574,19448
37,352,18073
38,326,6900
39,366,10910
40,493,13250
41,269,6217
42,238,5504
43,359,10882
44,249,6415
45,501,9805
46,192,5818
47,338,11112
48,253,6322
49,265,4834
50,372,12020
51,252,4147
52,242,5947
53,378,12111
54,528,14732
55,514,16000
56,244,7450
57,362,12190
58,350,9358
59,507,8250
60,227,8928
61,267,6169
62,701,16836
63,643,15489
64,313,9149
65,304,19056
66,266,5457
67,349,14739
68,262,6304
69,340,13675
70,417,15274
71,243,8107
72,282,6613
73,297,9179
74,203,7299
75,235,7220
76,474,9869
77,345,13936
78,268,27019
79,290,8776
80,204,6724
81,450,15350
82,212,6945
83,422,14267
84,288,9788
85,371,16138
86,730,27982
87,449,34982
88,324,10050
89,257,6358
90,343,12966
91,620,30090
92,344,17326
93,363,13163
94,222,6182
95,309,11504
96,368,13472
97,277,10177
98,540,16484
99,224,7078
100,202,7188
101,251,9906
102,320,11041
103,290,6266
104,276,15689
105,241,10407
106,273,7021
107,340,12330
108,316,7130
109,246,12391
110,250,9464
111,649,47992
112,319,10623
113,271,9810
114,1018,70830
115,220,4440
116,353,18069
117,508,17680
118,282,8623
119,221,4646
120,500,19495
121,134,4463
122,229,8174
123,262,5329
124,283,5910
125,439,26518
126,601,22143
127,522,20451
128,529,24083
129,239,9386
130,312,18590
131,415,10215
132,353,14733
133,237,13791
134,170,3222
135,602,44098
136,299,9296
137,323,7556
138,322,10135
139,97,6474
140,310,10109
141,410,10894
142,72,5686
143,333,9209
144,344,9884
145,289,9528
146,369,10525
147,214,7300
148,347,10806
149,282,9781
150,267,12709
151,74,1587
152,412,11100
153,729,61924
154,455,14803
155,297,4134
156,303,4595
157,200,6895
158,319,11488
159,280,11519
160,255,13021
161,510,13874
162,222,11726
163,275,10393
164,444,28808
165,436,13431
166,260,10935
167,275,10063
168,308,43905
169,316,14278
170,314,48291
171,136,9035
172,399,33384
173,415,20384
174,518,20479
175,404,12110
176,144,9687
177,393,13122
178,158,8004
179,294,28165
180,318,14553
181,809,36412
182,265,5913
183,338,9846
184,336,14381
185,362,8882
186,345,14615
187,394,11986
188,255,5809
189,322,7701
190,134,6738
191,343,6381
192,373,37196
193,182,10012
194,286,6938
195,274,5114
196,404,13778
197,196,10377
198,312,6460
199,279,5416
200,348,15088
201,585,11803
202,320,7588
203,330,16042
204,545,27082
205,343,14963
206,224,7995
207,413,17711
208,207,7752
209,307,25480
210,287,5457
211,310,8809
212,364,9936
213,501,10844
214,191,5108
215,367,11437
216,308,32165
217,395,18195
218,511,13740
219,303,6077
220,330,10365
221,311,10923
222,485,13834
223,359,7783
224,224,15700
225,183,8430
226,334,9619
227,289,10289
228,205,5393
229,273,10884
230,362,7401
231,317,7488
232,365,14631
233,276,8030
234,324,6590
235,309,7095
236,274,11365
237,329,5950
238,341,8537
239,284,6548
240,313,5897
241,375,7500
242,343,6296
243,338,8093
244,255,5578
245,373,11121
246,284,6246
247,233,6825
248,367,6472
249,213,7156
250,282,6114
251,266,5725
252,549,10811
253,280,5114
254,383,9878
255,378,8390
256,377,6978
257,351,7146
258,280,6945
259,324,6376
260,262,3817
261,417,8092
262,198,3113
